"(u'bond', u'street', u'level', u'jeweler', u'samer', u'halimeh', u'ny', u'accepts', u'bitcoin')","September 19, 2017"
"(u'pirate', u'bay', u'founder', u'njalla', u'offers', u'anonymous', u'domain', u'registration', u'bitcoin')","September 19, 2017"
"(u'china', u'may', u'try', u'block', u'bitcoin', u'transactions', u'country')","September 19, 2017"
"(u'aliant', u'payment', u'systems', u'partners', u'bitpay', u'bringing', u'bitcoin', u'mainstream')","September 19, 2017"
"(u'regulations', u'push', u'chinese', u'bitcoin', u'volumes', u'otc', u'neighboring', u'countries')","September 18, 2017"
"(u'september', u'bitcoin', u'market', u'madness', u'panic', u'selling', u'fomo', u'ensues')","September 18, 2017"
"(u'south', u'africa', u'second', u'largest', u'supermarket', u'chain', u'pick', u'pay', u'trials', u'bitcoin', u'payments')","September 18, 2017"
"(u'bitcoin', u'cash', u'network', u'continues', u'grow', u'ambitious', u'roadmap')","September 18, 2017"
"(u'expert', u'seven', u'reasons', u'chinese', u'regulators', u'shut', u'bitcoin', u'exchanges')","September 17, 2017"
"(u'india', u'considers', u'issuing', u'bitcoin-', u'like', u'cryptocurrency', u'legal', u'tender')","September 17, 2017"
"(u'japan', u'fsa', u'approves', u'coincheck', u'bitcoin', u'exchange', u'registration')","September 17, 2017"
"(u'chinese', u'investors', u'trade', u'bitcoin', u'over-', u'the-', u'counter', u'via', u'telegram')","September 16, 2017"
"(u'boss', u'calls', u'bitcoin', u'fraud', u'jp', u'morgan', u'buys', u'dip')","September 16, 2017"
"(u'bitstamp', u'introduce', u'bitcoin', u'cash', u'trading', u'end', u'month')","September 16, 2017"
"(u'bitcoin', u'journalism', u'wanted', u'hiring')","September 16, 2017"
"(u'nebraska', u'ethics', u'board', u'allows', u'attorneys', u'accept', u'bitcoin')","September 16, 2017"
"(u'beijing', u'sets', u'deadlines', u'bitcoin', u'exchanges', u'customers', u'withdraw', u'funds', u'quickly')","September 16, 2017"
"(u'bitcoin', u'markets', u'rebound', u'chinese', u'exchanges', u'plan', u'close', u'operations')","September 15, 2017"
"(u'china', u'regulatory', u'crackdown', u'forces', u'bitcoin', u'exchange', u'closures')","September 15, 2017"
"(u'bitcoin', u'proponents', u'respond', u'jp', u'morgan', u'executive', u'statements')","September 14, 2017"
"(u'bitcoin', u'exchange', u'btcc', u'halt', u'trading', u'regulatory', u'storm', u'brews', u'china')","September 14, 2017"
"(u'gmo', u'invest', u'billion', u'yen', u'nm', u'nm', u'nm', u'dedicated.')","September 13, 2017"
"(u'chinese', u'bitcoin', u'exchanges', u'face', u'stricter', u'regulation', u'licensure')","September 13, 2017"
"(u'markets', u'update', u'bitcoin', u'breaks', u'sell-')","September 13, 2017"
"(u'crypto', u'users', u'lost', u'bitcoin', u'cash', u'sending', u'legacy', u'bitcoin', u'wallets')","September 13, 2017"
"(u'regulation', u'round-', u'blockchain', u'tech', u'lauded', u'china', u'icos', u'shunned', u'uk', u'bitcoin', u'revered.')","September 12, 2017"
"(u'bitcoin', u'bubble')","September 12, 2017"
"(u'ig', u'bringing', u'bitcoin', u'bitcoin', u'cash', u'ether', u'cfd', u'trading', u'mainstream')","September 12, 2017"
"(u'lead', u'developer', u'amaury', u'chet', u'discusses', u'future', u'bitcoin', u'cash')","September 11, 2017"
"(u'xero', u'offer', u'cross-', u'border', u'payments', u'bitcoin', u'partnership', u'veem')","September 11, 2017"
"(u'nm', u'asics', u'bring', u'bitcoin', u'mining', u'whole', u'new', u'level')","September 10, 2017"
"(u'bitcoin-', u'friendly', u'companies', u'enter', u'flying', u'taxi', u'business')","September 10, 2017"
"(u'bitcoin', u'trading', u'slows', u'china', u'booms', u'hong', u'kong', u'south', u'america')","September 10, 2017"
"(u'chiasso', u'switzerland', u'municipality', u'allow', u'citizens', u'pay', u'taxes', u'bitcoin')","September 10, 2017"
"(u'network', u'launches', u'bitcoin', u'cash', u'beta', u'adds', u'new', u'features')","September 9, 2017"
"(u'japan', u'entertainment', u'giant', u'dmm', u'launching', u'bitcoin', u'mining', u'farm', u'pool')","September 9, 2017"
"(u'korean', u'court', u'rules', u'bitcoin', u'cannot', u'confiscated')","September 9, 2017"
"(u'bitcoin', u'ira', u'adds', u'bitcoin', u'cash', u'litecoin', u'ethereum', u'retirement', u'accounts')","September 9, 2017"
"(u'us', u'politicians', u'want', u'tax', u'exemptions', u'bitcoin', u'purchases', u'less')","September 8, 2017"
"(u'professor', u'urges', u'new', u'zealand', u'government', u'develop', u'bitcoin', u'regulations')","September 8, 2017"
"(u'tel', u'aviv', u'gets', u'new', u'btm', u'bitcoin', u'museum', u'historical', u'bauhaus', u'center')","September 8, 2017"
"(u'japan', u'internet', u'giant', u'gmo', u'launching', u'bitcoin', u'mining', u'nm', u'chips')","September 8, 2017"
"(u'top', u'indian', u'bitcoin', u'exchange', u'integrates', u'blockchain', u'wallet')","September 8, 2017"
"(u'grayscale', u'contemplates', u'creating', u'another', u'entity', u'bitcoin', u'cash')","September 7, 2017"
"(u'payza', u'unveils', u'bitcoin', u'address', u'manager')","September 7, 2017"
"(u'canadian', u'securities', u'commission', u'grants', u'bitcoin', u'fund', u'manager', u'registration')","September 7, 2017"
"(u'chainside', u'launches', u'segwit-', u'compliant', u'python', u'bitcoin', u'library', u'btcpy')","September 6, 2017"
"(u'bitcoin.', u'com', u'added', u'bitcoin', u'cash', u'functionality', u'wallet', u'versions')","September 6, 2017"
"(u'luxury', u'dubai', u'high', u'rise', u'apartments', u'sold', u'bitcoin')","September 5, 2017"
"(u'russian', u'men', u'charged', u'illegal', u'banking', u'unlicensed', u'bitcoin', u'trading')","September 5, 2017"
"(u'stargroup', u'network', u'upgrades', u'bringing', u'bitcoin', u'australian', u'atms')","September 5, 2017"
"(u'bitcoin', u'nvidia', u'prices', u'soar', u'sync')","September 5, 2017"
"(u'internet', u'archive', u'overstock', u'hodl', u'bitcoin', u'revenue', u'donations')","September 4, 2017"
"(u'markets', u'update', u'bitcoin', u'price', u'dives', u'deeper', u'midst', u'ico', u'shakedown')","September 4, 2017"
"(u'south', u'korea', u'coinplug', u'launches', u'new', u'exchange', u'begins', u'trading', u'bitcoin', u'cash')","September 3, 2017"
"(u'google', u'says', u'russia', u'interest', u'bitcoin', u'mining', u'ethereum')","September 3, 2017"
"(u'markets', u'update', u'bitcoin', u'takes', u'dip', u'big', u'run')","September 2, 2017"
"(u'ukrainian', u'lawmakers', u'agree', u'settle', u'bitcoin', u'legal', u'status', u'weeks')","September 2, 2017"
"(u'another', u'time', u'high', u'bitcoin', u'breaks', u'usd', u'asian', u'exchanges')","September 2, 2017"
"(u'moscow', u'exchange', u'clarifies', u'bitcoin', u'trading', u'plans', u'conflicting', u'reports')","September 1, 2017"
"(u'bitcoin', u'foundation', u'department', u'justice', u'investigated')","September 1, 2017"
"(u'bitcoin', u'debit', u'cards', u'halt', u'service', u'non-', u'european', u'residents', u'due', u'visa', u'new', u'rules')","September 1, 2017"
"(u'bitcoin', u'cash', u'network', u'turns', u'one', u'month', u'old', u'continues', u'move', u'forward')","September 1, 2017"
"(u'pr', u'five', u'advantages', u'universa', u'blockchain', u'bitcoin', u'ethereum')","August 31, 2017"
"(u'bitcoin', u'becoming', u'popular', u'investment', u'middle-', u'class', u'americans')","August 30, 2017"
"(u'bitcore', u'nodes', u'switch', u'bitcoin', u'implementation', u'even', u'forks')","August 30, 2017"
"(u'australian', u'government', u'bitcoin', u'causing', u'organized', u'crime', u'proliferate')","August 30, 2017"
"(u'bitkan', u'launch', u'otc', u'bitcoin', u'cash', u'trading', u'via', u'mobile', u'app')","August 30, 2017"
"(u'russian', u'energy', u'corporations', u'discuss', u'partnerships', u'bitcoin', u'miners')","August 30, 2017"
"(u'u.', u's.', u'lawmakers', u'aim', u'protect', u'bitcoin', u'users', u'government', u'harassment')","August 29, 2017"
